"Name","all_correct","combined-id","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","_tags","agent","code-retrieval","combined_id","command","environment","environtment","k","lookback","max-completion-tokens","memory","method","model-engine","model","name","parameters._tags","parameters.agent","parameters.agents","parameters.code-retrieval","parameters.code-retrievals","parameters.combined-ids","parameters.combined_ids","parameters.environment","parameters.environtment","parameters.k","parameters.lookback","parameters.max-completion-tokens","parameters.max-completion-tokenss","parameters.memory","parameters.memorys","parameters.model-engine","parameters.model-engines","parameters.model","parameters.reasoning-efforts","parameters.retrieval","parameters.retrievals","reasoning-effort","retrieval","agent_output","completion_tokens","compute_cost","compute_time","correct","correct_count","cost","experiment_description","func_ids","funcs_to_block","gold_output","losses","mode","paper_id","path","prompt_tokens","reasoning_tokens","refsol","split","step"
"clean-sweep-33","true","2205.00048_3","","finished","-","","2205.00048_3, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T23:37:40.000Z","450","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""IIF"": [0.00022957766970338144], ""IGF"": [6.531420796327108e-06], ""GIF"": [1.5155270864260923e-05], ""GGF"": [5.865956097793335e-07], ""AIF"": [1.3747849386984705e-05], ""AGF"": [3.417965144382433e-07], ""IID"": [0.00012941373053020611], ""IGD"": [2.6309788544084347e-06], ""GID"": [2.9055386641092446e-05], ""GGD"": [1.5267569462768894e-06], ""AID"": [2.832898259643734e-05], ""AGD"": [1.471852226331411e-06], ""IIR"": [3.843119017823239e-06], ""IGR"": [8.527492939359041e-07], ""GIR"": [1.9742164624446923e-05], ""GGR"": [1.501924858720956e-06], ""AIR"": [2.031354493845111e-05], ""AGR"": [1.693986814130217e-06]}, ""Experiment 2"": {""IIF"": [0.00022957766970338144], ""IGF"": [6.531420796327108e-06], ""GIF"": [1.7013274276116187e-05], ""GGF"": [6.076624364512684e-07], ""AIF"": [1.3747849386984705e-05], ""AGF"": [3.417965144382433e-07], ""IID"": [0.00012941373053020611], ""IGD"": [2.6309788544084347e-06], ""GID"": [3.0067999447094528e-05], ""GGD"": [1.4998125126298506e-06], ""AID"": [2.832898259643734e-05], ""AGD"": [1.471852226331411e-06], ""IIR"": [3.843119017823239e-06], ""IGR"": [8.527492939359041e-07], ""GIR"": [1.9274343908753687e-05], ""GGR"": [1.6062016369437721e-06], ""AIR"": [2.031354493845111e-05], ""AGR"": [1.693986814130217e-06]}, ""Experiment 3"": {""IIF"": [0.00022484007768105817], ""IGF"": [3.082074136416555e-06], ""GIF"": [9.181278104732387e-07], ""GGF"": [7.469683296964291e-08], ""AIF"": [7.250710559713114e-07], ""AGF"": [6.663700948973803e-08], ""IID"": [0.00012968000016872448], ""IGD"": [3.569623602862792e-06], ""GID"": [8.174601999868197e-06], ""GGD"": [8.250136749057006e-07], ""AID"": [7.978072339059405e-06], ""AGD"": [8.621028003209006e-07], ""IIR"": [8.846980678664919e-06], ""IGR"": [5.240740702300814e-06], ""GIR"": [1.309852303701036e-05], ""GGR"": [1.3120803641594582e-06], ""AIR"": [1.298541301208657e-05], ""AGR"": [1.3593968930682123e-06]}, ""Experiment 4"": {""IIF"": [0.00022484007768105817], ""IGF"": [3.082074136416555e-06], ""GIF"": [1.3634435504785814e-06], ""GGF"": [7.798720588589249e-08], ""AIF"": [7.250710559713114e-07], ""AGF"": [6.663700948973803e-08], ""IID"": [0.00012968000016872448], ""IGD"": [3.569623602862792e-06], ""GID"": [8.315038120896211e-06], ""GGD"": [9.70671953612065e-07], ""AID"": [7.978072339059405e-06], ""AGD"": [8.621028003209006e-07], ""IIR"": [8.846980678664919e-06], ""IGR"": [5.240740702300814e-06], ""GIR"": [1.3171213308192974e-05], ""GGR"": [1.6067363084913638e-06], ""AIR"": [1.298541301208657e-05], ""AGR"": [1.3593968930682123e-06]}}","4899","0.3682200000000001","390","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IIF': [0.00022957766970338144], 'IGF': [6.531420796327108e-06], 'GIF': [1.5155270864260923e-05], 'GGF': [5.865956097793335e-07], 'AIF': [1.3747849386984705e-05], 'AGF': [3.417965144382433e-07], 'IID': [0.00012941373053020611], 'IGD': [2.6309788544084347e-06], 'GID': [2.9055386641092446e-05], 'GGD': [1.5267569462768894e-06], 'AID': [2.832898259643734e-05], 'AGD': [1.471852226331411e-06], 'IIR': [3.843119017823239e-06], 'IGR': [8.527492939359041e-07], 'GIR': [1.9742164624446923e-05], 'GGR': [1.501924858720956e-06], 'AIR': [2.031354493845111e-05], 'AGR': [1.693986814130217e-06]}, 'Experiment 2': {'IIF': [0.00022957766970338144], 'IGF': [6.531420796327108e-06], 'GIF': [1.7013274276116187e-05], 'GGF': [6.076624364512684e-07], 'AIF': [1.3747849386984705e-05], 'AGF': [3.417965144382433e-07], 'IID': [0.00012941373053020611], 'IGD': [2.6309788544084347e-06], 'GID': [3.0067999447094528e-05], 'GGD': [1.4998125126298506e-06], 'AID': [2.832898259643734e-05], 'AGD': [1.471852226331411e-06], 'IIR': [3.843119017823239e-06], 'IGR': [8.527492939359041e-07], 'GIR': [1.9274343908753687e-05], 'GGR': [1.6062016369437721e-06], 'AIR': [2.031354493845111e-05], 'AGR': [1.693986814130217e-06]}, 'Experiment 3': {'IIF': [0.00022484007768105817], 'IGF': [3.082074136416555e-06], 'GIF': [9.181278104732387e-07], 'GGF': [7.469683296964291e-08], 'AIF': [7.250710559713114e-07], 'AGF': [6.663700948973803e-08], 'IID': [0.00012968000016872448], 'IGD': [3.569623602862792e-06], 'GID': [8.174601999868197e-06], 'GGD': [8.250136749057006e-07], 'AID': [7.978072339059405e-06], 'AGD': [8.621028003209006e-07], 'IIR': [8.846980678664919e-06], 'IGR': [5.240740702300814e-06], 'GIR': [1.309852303701036e-05], 'GGR': [1.3120803641594582e-06], 'AIR': [1.298541301208657e-05], 'AGR': [1.3593968930682123e-06]}, 'Experiment 4': {'IIF': [0.00022484007768105817], 'IGF': [3.082074136416555e-06], 'GIF': [1.3634435504785814e-06], 'GGF': [7.798720588589249e-08], 'AIF': [7.250710559713114e-07], 'AGF': [6.663700948973803e-08], 'IID': [0.00012968000016872448], 'IGD': [3.569623602862792e-06], 'GID': [8.315038120896211e-06], 'GGD': [9.70671953612065e-07], 'AID': [7.978072339059405e-06], 'AGD': [8.621028003209006e-07], 'IIR': [8.846980678664919e-06], 'IGR': [5.240740702300814e-06], 'GIR': [1.3171213308192974e-05], 'GGR': [1.6067363084913638e-06], 'AIR': [1.298541301208657e-05], 'AGR': [1.3593968930682123e-06]}}","{'Experiment 1': 0.0, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0}","","","","206220","","","","5"
"toasty-sweep-10","true","2303.11932_0","","finished","-","","2303.11932_0, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T22:16:59.000Z","1330","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""IoU"": 0.0009318720932615412}, ""Experiment 2"": {""IoU"": 0.09327616293166312}, ""Experiment 3"": {""IoU"": 0.0012813461199608028}}","2682","0.249175","125","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}}","{'Experiment 1': 0.017813601923863755, 'Experiment 2': 0.028954274383351575, 'Experiment 3': 0.031388311733286066}","","","","132526","","","","5"
"neat-sweep-19","true","2303.11932_9","","finished","-","","2303.11932_9, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T22:47:55.000Z","1165","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""IoU"": 0.0009499055283926375}, ""Experiment 2"": {""IoU"": 0.0013231788967832704}, ""Experiment 3"": {""IoU"": 0.000950840221881103}, ""Experiment 4"": {""IoU"": 0.0009372995847722146}, ""Experiment 5"": {""IoU"": 0.0009443687918531232}}","4705","0.518255","186","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True}","5","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.0013228687362359965}, 'Experiment 3': {'IoU': 0.000950343637027683}, 'Experiment 4': {'IoU': 0.0009427296271823229}, 'Experiment 5': {'IoU': 0.0009435898472335024}}","{'Experiment 1': 0.0011935073397677438, 'Experiment 2': 0.00023446056194240927, 'Experiment 3': 0.000522531886437592, 'Experiment 4': 0.00575991488284699, 'Experiment 5': 0.0008255118703370752}","","","","302402","","","","11"
"morning-sweep-17","true","2303.11932_7","","finished","-","","2303.11932_7, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T22:44:36.000Z","1238","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""IoU"": 0.0009514804915992359}, ""Experiment 2"": {""IoU"": 0.09065098784769642}, ""Experiment 3"": {""IoU"": 0.0013268754722351634}, ""Experiment 4"": {""IoU"": 0.000957665234298661}, ""Experiment 5"": {""IoU"": 0.0009369270270116641}, ""Experiment 6"": {""IoU"": 0.0009425108221363096}, ""Experiment 7"": {""IoU"": 0.09091092574763958}, ""Experiment 8"": {""IoU"": 0.09120922387606137}, ""Experiment 9"": {""IoU"": 0.09112781452255056}, ""Experiment 10"": {""IoU"": 0.001300314476070642}, ""Experiment 11"": {""IoU"": 0.0012723920466529448}, ""Experiment 12"": {""IoU"": 0.0012746569907390855}}","6679","0.303025","987","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True, 'Experiment 11': True, 'Experiment 12': True}","12","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}, 'Experiment 4': {'IoU': 0.000950343637027683}, 'Experiment 5': {'IoU': 0.0009427296271823229}, 'Experiment 6': {'IoU': 0.0009435898472335024}, 'Experiment 7': {'IoU': 0.09061482887766313}, 'Experiment 8': {'IoU': 0.09164573186628844}, 'Experiment 9': {'IoU': 0.09111485122946014}, 'Experiment 10': {'IoU': 0.001294992995005883}, 'Experiment 11': {'IoU': 0.001260498017262972}, 'Experiment 12': {'IoU': 0.0012804952784324249}}","{'Experiment 1': 0.0028535070867042427, 'Experiment 2': 4.733349751471457e-06, 'Experiment 3': 0.0030288235630751025, 'Experiment 4': 0.007704157723281264, 'Experiment 5': 0.006155105348711577, 'Experiment 6': 0.001143531906745737, 'Experiment 7': 0.003267642544204336, 'Experiment 8': 0.004762993118587747, 'Experiment 9': 0.00014227420574689314, 'Experiment 10': 0.00410927401559789, 'Experiment 11': 0.009435976278486604, 'Experiment 12': 0.004559398063916799}","","","","128094","","","","4"
"light-sweep-6","true","2309.05569_5","","finished","-","","2309.05569_5, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T22:10:24.000Z","343","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""total loss"": 0.75774}, ""Experiment 2"": {""total loss"": 0.76919}, ""Experiment 3"": {""total loss"": 0.59815}, ""Experiment 4"": {""total loss"": 0.78735}, ""Experiment 5"": {""total loss"": 0.72689}, ""Experiment 6"": {""total loss"": 0.74395}, ""Experiment 7"": {""total loss"": 0.78478}, ""Experiment 8"": {""total loss"": 0.78478}, ""Experiment 9"": {""total loss"": 0.87189}, ""Experiment 10"": {""total loss"": 0.75746}}","7056","0.42613","279","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True}","10","","","","","{'Experiment 1': {'total loss': 0.79258}, 'Experiment 2': {'total loss': 0.76919}, 'Experiment 3': {'total loss': 0.59815}, 'Experiment 4': {'total loss': 0.78735}, 'Experiment 5': {'total loss': 0.72689}, 'Experiment 6': {'total loss': 0.74395}, 'Experiment 7': {'total loss': 0.78478}, 'Experiment 8': {'total loss': 0.78478}, 'Experiment 9': {'total loss': 0.87189}, 'Experiment 10': {'total loss': 0.75746}}","{'Experiment 1': 0.04395770773928182, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0, 'Experiment 5': 0.0, 'Experiment 6': 0.0, 'Experiment 7': 0.0, 'Experiment 8': 0.0, 'Experiment 9': 0.0, 'Experiment 10': 0.0}","","","","192020","","","","5"
"lively-sweep-9","true","2309.05569_9","","finished","-","","2309.05569_9, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T22:16:52.000Z","282","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""total loss"": 0.75774}, ""Experiment 2"": {""total loss"": 0.76919}, ""Experiment 3"": {""total loss"": 0.59815}, ""Experiment 4"": {""total loss"": 0.78735}, ""Experiment 5"": {""total loss"": 0.72689}, ""Experiment 6"": {""total loss"": 0.74395}, ""Experiment 7"": {""total loss"": 0.78478}, ""Experiment 8"": {""total loss"": 0.78478}, ""Experiment 9"": {""total loss"": 0.87189}, ""Experiment 10"": {""total loss"": 0.75746}}","2455","0.3653900000000001","210","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True}","10","","","","","{'Experiment 1': {'total loss': 0.79258}, 'Experiment 2': {'total loss': 0.76919}, 'Experiment 3': {'total loss': 0.59815}, 'Experiment 4': {'total loss': 0.78735}, 'Experiment 5': {'total loss': 0.72689}, 'Experiment 6': {'total loss': 0.74395}, 'Experiment 7': {'total loss': 0.78478}, 'Experiment 8': {'total loss': 0.78478}, 'Experiment 9': {'total loss': 0.87189}, 'Experiment 10': {'total loss': 0.75746}}","{'Experiment 1': 0.04395770773928182, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0, 'Experiment 5': 0.0, 'Experiment 6': 0.0, 'Experiment 7': 0.0, 'Experiment 8': 0.0, 'Experiment 9': 0.0, 'Experiment 10': 0.0}","","","","163856","","","","6"
"young-sweep-14","true","2303.11932_4","","finished","-","","2303.11932_4, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T22:39:14.000Z","515","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""IoU"": 0.000949209678567105}, ""Experiment 2"": {""IoU"": 0.0907392381196377}, ""Experiment 3"": {""IoU"": 0.001328556813136973}, ""Experiment 4"": {""IoU"": 0.0009555302612497121}, ""Experiment 5"": {""IoU"": 0.0009323836581689904}, ""Experiment 6"": {""IoU"": 0.0009436978747054617}, ""Experiment 7"": {""IoU"": 0.0909506764876194}, ""Experiment 8"": {""IoU"": 0.09140741509756294}, ""Experiment 9"": {""IoU"": 0.0911186507835457}, ""Experiment 10"": {""IoU"": 0.0013032372060432606}, ""Experiment 11"": {""IoU"": 0.0012704612905182354}, ""Experiment 12"": {""IoU"": 0.0012786945198035354}}","3801","0.28098999999999996","438","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True, 'Experiment 11': True, 'Experiment 12': True}","12","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}, 'Experiment 4': {'IoU': 0.000950343637027683}, 'Experiment 5': {'IoU': 0.0009427296271823229}, 'Experiment 6': {'IoU': 0.0009435898472335024}, 'Experiment 7': {'IoU': 0.09061482887766313}, 'Experiment 8': {'IoU': 0.09164573186628844}, 'Experiment 9': {'IoU': 0.09111485122946014}, 'Experiment 10': {'IoU': 0.001294992995005883}, 'Experiment 11': {'IoU': 0.001260498017262972}, 'Experiment 12': {'IoU': 0.0012804952784324249}}","{'Experiment 1': 0.00046008669257396374, 'Experiment 2': 0.00096877897832325, 'Experiment 3': 0.004299804466738669, 'Experiment 4': 0.005457630292817999, 'Experiment 5': 0.010974481670057457, 'Experiment 6': 0.00011448562346867943, 'Experiment 7': 0.003706320633344526, 'Experiment 8': 0.002600413176613697, 'Experiment 9': 4.170071107272447e-05, 'Experiment 10': 0.006366220565803247, 'Experiment 11': 0.00790423556309717, 'Experiment 12': 0.0014062985309043383}","","","","124584","","","","5"
"cool-sweep-18","true","2303.11932_8","","finished","-","","2303.11932_8, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T22:47:34.000Z","1720","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""IoU"": 0.0009497942671539652}, ""Experiment 2"": {""IoU"": 0.09068004777488498}, ""Experiment 3"": {""IoU"": 0.0013242039656875138}, ""Experiment 4"": {""IoU"": 0.0009535733946881336}, ""Experiment 5"": {""IoU"": 0.0009343415877666326}, ""Experiment 6"": {""IoU"": 0.0009413241844366638}, ""Experiment 7"": {""IoU"": 0.09094628730331468}, ""Experiment 8"": {""IoU"": 0.0910120925139218}, ""Experiment 9"": {""IoU"": 0.09115009174570915}, ""Experiment 10"": {""IoU"": 0.0013025519366494382}, ""Experiment 11"": {""IoU"": 0.0012716007693084881}, ""Experiment 12"": {""IoU"": 0.001275675322153219}}","6916","0.3183075","740","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True, 'Experiment 11': True, 'Experiment 12': True}","12","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}, 'Experiment 4': {'IoU': 0.000950343637027683}, 'Experiment 5': {'IoU': 0.0009427296271823229}, 'Experiment 6': {'IoU': 0.0009435898472335024}, 'Experiment 7': {'IoU': 0.09061482887766313}, 'Experiment 8': {'IoU': 0.09164573186628844}, 'Experiment 9': {'IoU': 0.09111485122946014}, 'Experiment 10': {'IoU': 0.001294992995005883}, 'Experiment 11': {'IoU': 0.001260498017262972}, 'Experiment 12': {'IoU': 0.0012804952784324249}}","{'Experiment 1': 0.0010762388046895355, 'Experiment 2': 0.00031583447115947637, 'Experiment 3': 0.0010093438713477474, 'Experiment 4': 0.003398515583849346, 'Experiment 5': 0.008897608788174966, 'Experiment 6': 0.0024011097655208323, 'Experiment 7': 0.0036578828184848466, 'Experiment 8': 0.00691400831727902, 'Experiment 9': 0.0003867702770019274, 'Experiment 10': 0.005837052148317488, 'Experiment 11': 0.008808226505286008, 'Experiment 12': 0.003764134362999317}","","","","156875","","","","5"
"genial-sweep-13","true","2303.11932_3","","finished","-","","2303.11932_3, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T22:29:25.000Z","724","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""IoU"": 0.0009457528453822306}, ""Experiment 2"": {""IoU"": 0.09067688074526067}, ""Experiment 3"": {""IoU"": 0.0013043457557404719}}","6652","0.6034700000000002","202","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.000950343637027683}, 'Experiment 2': {'IoU': 0.09061482887766313}, 'Experiment 3': {'IoU': 0.001294992995005883}}","{'Experiment 1': 0.004830664894869657, 'Experiment 2': 0.0006847871189087341, 'Experiment 3': 0.007222248128489951}","","","","356348","","","","12"
"rosy-sweep-24","true","2303.11932_14","","finished","-","","2303.11932_14, Full, MLAgentBench, ReAct, agent_architecture, gpt-4o","2025-04-15T23:16:01.000Z","224","ysw98o2v","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","{""Experiment 1"": {""IoU"": 0.0013214722374379141}, ""Experiment 2"": {""IoU"": 0.0013039669414959066}, ""Experiment 3"": {""IoU"": 0.0012745023141411739}, ""Experiment 4"": {""IoU"": 0.0012795968241801185}}","3207","0.241745","93","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.0013228687362359965}, 'Experiment 2': {'IoU': 0.001294992995005883}, 'Experiment 3': {'IoU': 0.001260498017262972}, 'Experiment 4': {'IoU': 0.0012804952784324249}}","{'Experiment 1': 0.001055659386173, 'Experiment 2': 0.006929725893986594, 'Experiment 3': 0.011110130033056801, 'Experiment 4': 0.0007016458923661711}","","","","118110","","","","4"
